# Generated on 2025-10-10 10:43:06,,
Category,Job Title,Tags
Core / Transferable Roles,Systems Support Engineer,
Core / Transferable Roles,Technical Support Engineer,
Core / Transferable Roles,Systems Integration Engineer,
Core / Transferable Roles,Validation / Test Engineer,
Core / Transferable Roles,Application Support Engineer,
Core / Transferable Roles,Technical Operations Specialist,
Core / Transferable Roles,IT Systems Analyst,
DevOps & Automation Path,Associate DevOps Engineer,
DevOps & Automation Path,Junior DevOps Engineer,
DevOps & Automation Path,Automation Engineer,
DevOps & Automation Path,Build & Release Engineer,
DevOps & Automation Path,Platform Operations Engineer,
DevOps & Automation Path,Site Reliability Engineer (SRE) – Associate / Entry-Level,
DevOps & Automation Path,Infrastructure Support Engineer,
IoT / Systems Hybrid,IoT Systems Engineer,
IoT / Systems Hybrid,Telemetry Systems Engineer,
IoT / Systems Hybrid,Data Operations Engineer,
IoT / Systems Hybrid,Monitoring & Controls Engineer,
IoT / Systems Hybrid,Field Systems Integration Specialist,
IoT / Systems Hybrid,Environmental Systems Analyst,
Cloud / Infrastructure Pathways,Cloud Operations Engineer,
Cloud / Infrastructure Pathways,Cloud Support Associate,
Cloud / Infrastructure Pathways,Infrastructure Analyst,
Cloud / Infrastructure Pathways,Systems Reliability Analyst,
Cloud / Infrastructure Pathways,Infrastructure-as-Code (IaC) Associate,
Cross-Functional / Bridge Roles,Technical Project Specialist / Coordinator,
Cross-Functional / Bridge Roles,Product Support Engineer,
Cross-Functional / Bridge Roles,Solutions Engineer,
Cross-Functional / Bridge Roles,Customer Success Engineer (Technical),
Cross-Functional / Bridge Roles,Systems Process Engineer,
